,precision,recall,f1-score,support
0,0.9542931766242246,0.8079049198452184,0.8750187097739859,3618.0
1,0.854602510460251,0.9668639053254438,0.9072737368128817,4225.0
accuracy,0.8935356368736452,0.8935356368736452,0.8935356368736452,0.8935356368736452
macro avg,0.9044478435422378,0.8873844125853311,0.8911462232934337,7843.0
weighted avg,0.9005901210915473,0.8935356368736452,0.8923943937264702,7843.0
