,precision,recall,f1-score,support
0,0.989148128052089,0.9942732478865558,0.991704066367469,3667.0
1,0.9946929492039424,0.9899396378269618,0.9923106012857683,3976.0
accuracy,0.9920188407693314,0.9920188407693314,0.9920188407693314,0.9920188407693314
macro avg,0.9919205386280157,0.9921064428567588,0.9920073338266187,7643.0
weighted avg,0.9920326248334274,0.9920188407693314,0.9920195946724747,7643.0
